WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13963,20170102,314,12,CLR002, ,0.25, , , ,45, ,7.2, ,M, ,M, ,45, ,7.2, ,M, ,3, ,50, , , ,M, , , , , ,M, ,SP, , , ,29.96, 
13963,20170102,353,12,CLR002, ,0.25, , , ,45, ,7.2, ,M, ,M, ,45, ,7.2, ,M, ,7, ,70, , , ,M, , , , , ,29.94, ,AA, ,  T, ,29.93, 
13963,20170102,436,12,CLR002, ,0.25, , , ,45, ,7.2, ,M, ,M, ,45, ,7.2, ,M, ,6, ,50, , , ,M, , , , , ,M, ,SP, , , ,29.92, 
13963,20170102,453,12,CLR002, ,0.25, , , ,45, ,7.2, ,M, ,M, ,45, ,7.2, ,M, ,7, ,100, , , ,M, , , , , ,29.94, ,AA, ,0.01, ,29.93, 
13963,20170102,515,12,CLR002, ,0.25, , , ,45, ,7.2, ,M, ,M, ,45, ,7.2, ,M, ,3, ,60, , , ,M, , , , , ,M, ,SP, , , ,29.93, 
13963,20170102,553,12,CLR002, ,0.25, , , ,46, ,7.8, ,M, ,M, ,46, ,7.8, ,M, ,6, ,50, , , ,M, , , , , ,29.91, ,AA, ,  T, ,29.91, 
13963,20170102,624,12,CLR002, ,0.25, , , ,46, ,7.8, ,M, ,M, ,46, ,7.8, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,29.91, 
13963,20170102,653,12,CLR002, ,0.25, , , ,46, ,7.8, ,M, ,M, ,46, ,7.8, ,M, ,7, ,90, , , ,M, , , , , ,29.91, ,AA, ,0.01, ,29.9, 
13963,20170102,753,12,CLR002, ,0.25, , , ,47, ,8.3, ,M, ,M, ,47, ,8.3, ,M, ,7, ,100, , , ,M, , , , , ,29.91, ,AA, ,  T, ,29.9, 
13963,20170102,853,12,CLR002, ,0.25, , , ,48, ,8.9, ,M, ,M, ,48, ,8.9, ,M, ,3, ,320, , , ,M, , , , , ,29.93, ,AA, ,  T, ,29.93, 
13963,20170102,953,12,CLR002, ,0.25, , , ,48, ,8.9, ,M, ,M, ,48, ,8.9, ,M, ,5, ,20, , , ,M, , , , , ,29.91, ,AA, ,  T, ,29.9, 
13963,20170102,1028,12,CLR002, ,0.25, , , ,48, ,8.9, ,M, ,M, ,48, ,8.9, ,M, ,6, ,30, , , ,M, , , , , ,M, ,SP, , , ,29.9, 
13963,20170102,1053,12,CLR002, ,0.25, , , ,49, ,9.4, ,M, ,M, ,49, ,9.4, ,M, ,6, ,110, , , ,M, , , , , ,29.91, ,AA, ,0.09, ,29.9, 
13963,20170102,1101,12,CLR, ,1, , , ,49, ,9.4, ,M, ,M, ,49, ,9.4, ,M, ,6, ,80, , , ,M, , , , , ,M, ,SP, , , ,29.9, 
13963,20170102,1116,12,BKN005 OVC012, ,2, ,#NAME?, ,49, ,9.4, ,49, ,9.4, ,49, ,9.4, ,100, ,0, ,0, , , ,29.62, , , , , ,M, ,SP, , , ,29.9, 
13963,20170102,1129,12,OVC005CB, ,2, ,#NAME?, ,49, ,9.4, ,49, ,9.4, ,49, ,9.4, ,100, ,6, ,320, , , ,29.62, , , , , ,M, ,SP, , , ,29.89, 
13963,20170102,1151,12,FEW002 BKN005 OVC012, ,2.5, ,#NAME?, ,50, ,10, ,50, ,10, ,50, ,10, ,100, ,6, ,340, , , ,29.62, , , , , ,M, ,SP, , , ,29.89, 
13963,20170102,1153,12,FEW002 BKN005 OVC012, ,3, ,#NAME?, ,50, ,10, ,50, ,10, ,50, ,10, ,100, ,6, ,340, , , ,29.62, , , , , ,29.89, ,AA, ,0.08, ,29.89, 
13963,20170102,1253,12,OVC005, ,7, , , ,52, ,11.1, ,52, ,11.1, ,52, ,11.1, ,100, ,3, ,350, , , ,29.57, , , , , ,29.84, ,AA, ,  T, ,29.84, 
13963,20170102,1348,12,BKN003 OVC010, ,5, ,#NAME?, ,52, ,11, ,52, ,11.1, ,52, ,11, ,100, ,10, ,70, , , ,29.47, , , , , ,M, ,SP, , , ,29.74, 
13963,20170102,1353,12,CLR, ,0.5, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,8, ,30, , , ,M, , , , , ,29.75, ,AA, ,  T, ,29.74, 
13963,20170102,1417,12,CLR, ,0.25, , , ,53, ,11.7, ,M, ,M, ,53, ,11.7, ,M, ,10, ,340, , , ,M, , , , , ,M, ,SP, , , ,29.75, 
13963,20170102,1453,12,CLR002, ,0.25, , , ,54, ,12.2, ,M, ,M, ,54, ,12.2, ,M, ,8, ,10, , , ,M, , , , , ,29.75, ,AA, ,  T, ,29.75, 
13963,20170102,1553,12,CLR002, ,0.25, , , ,55, ,12.8, ,M, ,M, ,55, ,12.8, ,M, ,3, ,VR , , , ,M, , , , , ,29.76, ,AA, ,  T, ,29.75, 
13963,20170102,1619,12,CLR001, ,0.12, , , ,55, ,12.8, ,M, ,M, ,55, ,12.8, ,M, ,5, ,360, , , ,M, , , , , ,M, ,SP, , , ,29.77, 
13963,20170102,1623,12,CLR002, ,0.25, , , ,55, ,12.8, ,M, ,M, ,55, ,12.8, ,M, ,3, ,350, , , ,M, , , , , ,M, ,SP, , , ,29.77, 
13963,20170102,1641,12,M, ,0, , , ,55, ,12.8, ,M, ,M, ,55, ,12.8, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,29.77, 
13963,20170102,1653,12,M, ,0, , , ,55, ,12.8, ,M, ,M, ,55, ,12.8, ,M, ,3, ,10, , , ,M, , , , , ,29.77, ,AA, , , ,29.77, 
13963,20170102,1743,12,M, ,0, , , ,54, ,12.2, ,M, ,M, ,54, ,12.2, ,M, ,3, ,130, , , ,M, , , , , ,M, ,SP, , , ,29.77, 
13963,20170102,1753,12,M, ,0, , , ,54, ,12.2, ,M, ,M, ,54, ,12.2, ,M, ,0, ,0, , , ,M, , , , , ,29.79, ,AA, , , ,29.78, 
13963,20170102,1853,12,M, ,0, , , ,54, ,12.2, ,M, ,M, ,54, ,12.2, ,M, ,3, ,230, , , ,M, , , , , ,29.8, ,AA, , , ,29.79, 
13963,20170102,1953,12,M, ,0, , , ,54, ,12.2, ,M, ,M, ,54, ,12.2, ,M, ,5, ,340, , , ,M, , , , , ,29.81, ,AA, , , ,29.81, 
13963,20170102,2035,12,CLR, ,1, , , ,53, ,11.7, ,M, ,M, ,53, ,11.7, ,M, ,8, ,300, , , ,M, , , , , ,M, ,SP, , , ,29.83, 
13963,20170102,2053,12,CLR, ,1, , , ,53, ,11.7, ,M, ,M, ,53, ,11.7, ,M, ,5, ,290, , , ,M, , , , , ,29.85, ,AA, , , ,29.84, 
13963,20170102,2137,12,SCT003 OVC006, ,2, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,7, ,290, , , ,29.57, , , , , ,M, ,SP, , , ,29.85, 
13963,20170102,2139,12,M, ,1, , , ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,7, ,300, , , ,M, , , , , ,M, ,SP, , , ,M, 
13963,20170102,2150,12,SCT003 OVC007, ,2, ,BR, ,54, ,12, ,54, ,12.2, ,54, ,12, ,100, ,3, ,330, , , ,29.57, , , , , ,M, ,SP, , , ,29.85, 
13963,20170102,2153,12,SCT003 OVC007, ,2, ,BR, ,52, ,11.1, ,52, ,11.1, ,52, ,11.1, ,100, ,3, ,300, , , ,29.57, , , , , ,29.85, ,AA, , , ,29.85, 
13963,20170102,2206,12,OVC007, ,5, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,5, ,260, , , ,29.57, , , , , ,M, ,SP, , , ,29.85, 
13963,20170102,2253,12,OVC005, ,2.5, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,3, ,260, , , ,29.57, , , , , ,29.85, ,AA, , , ,29.85, 
13963,20170102,2346,12,OVC005, ,3, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,8, ,280, , , ,29.59, , , , , ,M, ,SP, , , ,29.87, 
13963,20170102,2353,12,OVC005, ,3, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,14, ,280, ,20, ,29.59, , , , , ,29.88, ,AA, , , ,29.87, 
13963,20170103,53,12,OVC006, ,5, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,5, ,300, , , ,29.59, , , , , ,29.87, ,AA, , , ,29.87, 
13963,20170103,153,12,OVC005, ,5, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,6, ,320, , , ,29.57, , , , , ,29.85, ,AA, , , ,29.85, 
13963,20170103,217,12,OVC004, ,2.5, ,BR, ,52, ,11.1, ,52, ,11.1, ,52, ,11.1, ,100, ,8, ,310, , , ,29.57, , , , , ,M, ,SP, , , ,29.84, 
13963,20170103,239,12,CLR, ,0.75, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,8, ,300, , , ,M, , , , , ,M, ,SP, , , ,29.85, 
13963,20170103,253,12,CLR, ,0.75, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,5, ,290, , , ,M, , , , , ,29.85, ,AA, , , ,29.85, 
13963,20170103,333,12,CLR, ,0.5, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,3, ,280, , , ,M, , , , , ,M, ,SP, , , ,29.84, 
13963,20170103,353,12,CLR, ,0.5, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,6, ,280, , , ,M, , , , , ,29.86, ,AA, , , ,29.85, 
13963,20170103,359,12,CLR, ,0.25, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,5, ,280, , , ,M, , , , , ,M, ,SP, , , ,29.85, 
13963,20170103,453,12,M, ,0, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,0, ,0, , , ,M, , , , , ,29.85, ,AA, , , ,29.85, 
13963,20170103,553,12,M, ,0, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,0, ,0, , , ,M, , , , , ,29.85, ,AA, , , ,29.85, 
13963,20170103,653,12,CLR002, ,0.12, , , ,51, ,10.6, ,M, ,M, ,51, ,10.6, ,M, ,3, ,270, , , ,M, , , , , ,29.87, ,AA, , , ,29.86, 
13963,20170103,751,12,M, ,0.12, , , ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,M, 
13963,20170103,753,12,CLR001, ,0.12, , , ,51, ,10.6, ,M, ,M, ,51, ,10.6, ,M, ,0, ,0, , , ,M, , , , , ,29.87, ,AA, , , ,29.87, 
13963,20170103,853,12,CLR001, ,0.12, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,0, ,0, , , ,M, , , , , ,29.9, ,AA, , , ,29.9, 
13963,20170103,855,12,M, ,0.25, , , ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,M, 
13963,20170103,907,12,CLR002, ,0.25, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,5, ,20, , , ,M, , , , , ,M, ,SP, , , ,29.9, 
13963,20170103,922,12,CLR003, ,0.5, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,29.91, 
13963,20170103,930,12,CLR002, ,0.25, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,3, ,30, , , ,M, , , , , ,M, ,SP, , , ,29.91, 
13963,20170103,946,12,CLR, ,0.75, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,5, ,360, , , ,M, , , , , ,M, ,SP, , , ,29.92, 
13963,20170103,953,12,CLR, ,0.75, , , ,52, ,11.1, ,M, ,M, ,52, ,11.1, ,M, ,3, ,VR , , , ,M, , , , , ,29.93, ,AA, , , ,29.92, 
13963,20170103,1053,12,OVC003, ,1.5, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,0, ,0, , , ,29.65, , , , , ,29.93, ,AA, , , ,29.92, 
13963,20170103,1119,12,OVC003, ,2.5, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,0, ,0, , , ,29.65, , , , , ,M, ,SP, , , ,29.92, 
13963,20170103,1132,12,OVC004, ,3, ,BR, ,54, ,12.2, ,54, ,12.2, ,54, ,12.2, ,100, ,5, ,330, , , ,29.63, , , , , ,M, ,SP, , , ,29.91, 
13963,20170103,1153,12,OVC004, ,3, ,BR, ,54, ,12.2, ,54, ,12.2, ,54, ,12.2, ,100, ,5, ,310, , , ,29.63, , , , , ,29.91, ,AA, , , ,29.91, 
13963,20170103,1213,12,OVC004, ,2, ,BR, ,53, ,11.7, ,53, ,11.6, ,53, ,11.7, ,100, ,9, ,290, , , ,29.62, , , , , ,M, ,SP, , , ,29.9, 
13963,20170103,1253,12,OVC004, ,3, ,BR, ,54, ,12.2, ,54, ,12.2, ,54, ,12.2, ,100, ,8, ,290, , , ,29.62, , , , , ,29.9, ,AA, , , ,29.89, 
13963,20170103,1306,12,OVC007, ,7, , , ,55, ,12.8, ,55, ,12.7, ,55, ,12.8, ,100, ,7, ,300, , , ,29.62, , , , , ,M, ,SP, , , ,29.89, 
13963,20170103,1353,12,OVC009, ,10, , , ,56, ,13.3, ,55, ,13, ,55, ,12.8, ,96, ,6, ,320, , , ,29.62, , , , , ,29.9, ,AA, , , ,29.9, 
13963,20170103,1411,12,OVC012, ,10, , , ,56, ,13.3, ,55, ,13, ,55, ,12.8, ,96, ,10, ,340, , , ,29.62, , , , , ,M, ,SP, , , ,29.9, 
13963,20170103,1453,12,BKN014 OVC022, ,10, , , ,56, ,13.3, ,55, ,12.7, ,54, ,12.2, ,93, ,8, ,340, , , ,29.62, , , , , ,29.91, ,AA, , , ,29.9, 
13963,20170103,1532,12,SCT014 BKN022 OVC035, ,10, , , ,55, ,12.8, ,54, ,12.4, ,54, ,12.2, ,96, ,9, ,290, , , ,29.65, , , , , ,M, ,SP, , , ,29.93, 
13963,20170103,1553,12,FEW014 BKN022 BKN250, ,10, , , ,55, ,12.8, ,54, ,12.4, ,54, ,12.2, ,96, ,7, ,290, , , ,29.65, , , , , ,29.93, ,AA, , , ,29.93, 
13963,20170103,1630,12,FEW022 BKN250, ,10, , , ,55, ,12.8, ,54, ,12.4, ,54, ,12.2, ,96, ,10, ,310, , , ,29.67, , , , , ,M, ,SP, , , ,29.95, 
13963,20170103,1653,12,SCT025 BKN250, ,10, , , ,54, ,12.2, ,54, ,12.2, ,54, ,12.2, ,100, ,8, ,310, , , ,29.66, , , , , ,29.95, ,AA, , , ,29.94, 
13963,20170103,1732,12,BKN025 BKN250, ,10, , , ,54, ,12.2, ,54, ,12.2, ,54, ,12.2, ,100, ,8, ,310, , , ,29.68, , , , , ,M, ,SP, , , ,29.96, 
13963,20170103,1753,12,FEW014 OVC025, ,10, , , ,54, ,12.2, ,54, ,12.2, ,54, ,12.2, ,100, ,9, ,330, , , ,29.69, , , , , ,29.98, ,AA, , , ,29.97, 
13963,20170103,1829,12,SCT020 OVC055, ,10, , , ,52, ,11.1, ,50, ,10.2, ,49, ,9.4, ,90, ,14, ,350, , , ,29.71, , , , , ,M, ,SP, , , ,29.99, 
13963,20170103,1853,12,SCT020 BKN060 BKN250, ,10, , , ,51, ,10.6, ,49, ,9.7, ,48, ,8.9, ,90, ,16, ,340, , , ,29.72, , , , , ,30.01, ,AA, , , ,30, 
13963,20170103,1917,12,OVC019, ,10, , , ,50, ,10, ,48, ,9.1, ,47, ,8.3, ,90, ,18, ,350, , , ,29.73, , , , , ,M, ,SP, , , ,30.01, 
13963,20170103,1953,12,SCT019 OVC025, ,10, , , ,47, ,8.3, ,46, ,7.5, ,44, ,6.7, ,89, ,16, ,350, ,25, ,29.76, , , , , ,30.05, ,AA, , , ,30.04, 
13963,20170103,2053,12,BKN016 OVC022, ,10, , , ,46, ,7.8, ,44, ,6.7, ,42, ,5.6, ,86, ,21, ,340, , , ,29.78, , , , , ,30.06, ,AA, , , ,30.06, 
13963,20170103,2153,12,OVC016, ,10, , , ,44, ,6.7, ,42, ,5.6, ,40, ,4.4, ,86, ,18, ,350, ,24, ,29.81, , , , , ,30.1, ,AA, , , ,30.09, 
13963,20170103,2253,12,OVC017, ,10, , , ,43, ,6.1, ,42, ,5.3, ,40, ,4.4, ,89, ,16, ,340, , , ,29.84, , , , , ,30.12, ,AA, , , ,30.12, 
13963,20170103,2353,12,OVC019, ,10, , , ,40, ,4.4, ,39, ,3.7, ,37, ,2.8, ,89, ,14, ,350, , , ,29.85, , , , , ,30.14, ,AA, , , ,30.13, 
13963,20170104,34,12,FEW065 OVC250, ,10, , , ,38, ,3.3, ,36, ,1.9, ,32, ,0, ,79, ,16, ,340, , , ,29.85, , , , , ,M, ,SP, , , ,30.13, 
13963,20170104,53,12,FEW065 OVC250, ,10, , , ,38, ,3.3, ,36, ,1.9, ,32, ,0, ,79, ,16, ,350, , , ,29.85, , , , , ,30.14, ,AA, , , ,30.13, 
13963,20170104,153,12,FEW060 BKN250, ,10, , , ,37, ,2.8, ,35, ,1.4, ,31, ,-0.6, ,79, ,11, ,340, , , ,29.89, , , , , ,30.18, ,AA, , , ,30.17, 
